
════════════════════════════════════════════════════════════
🔍  Level: C  (dry run)
  ✅  u-c-388  norsk="«Grevinnen og hovmesteren»"
  ✅  u-c-389  norsk="å befeste sin rolle"
  ✅  u-c-390  norsk="på deling"
  ✅  u-c-391  norsk="å knipe inn på noe"
  ✅  u-c-392  norsk="julebordet ryker"
  ✅  u-c-393  norsk="å ha alt på stell"
  ✅  u-c-394  norsk="etter sigende"
  ✅  u-c-395  norsk="brede lag av folket"
  → 204 assigned, 0 already had an id, 0 skipped
  🧪  --dry-run: not writing changes

════════════════════════════════════════════════════════════
🧪  Dry run complete — no files were changed.
